School Name,Generated Revenue,Seed Rank,Year,Key
Coastal Carolina,"$138,500.00",,2022-23,Coastal_Carolina_23
Northern Illinois,"$517,765.00",,2022-23,Northern_Illinois_23
Bowling Green,"$1,068,288.00",,2022-23,Bowling_Green_23
Ohio,"$1,170,004.00",,2022-23,Ohio_23
Texas Tech,"$15,506,818.00",,2022-23,Texas_Tech_23
Houston,"$2,247,941.00",1,2022-23,Houston_23
Georgia State,"$133,513.00",,2022-23,Georgia_State_23
Ole Miss,"$12,092,919.00",,2022-23,Ole_Miss_23
Western Michigan,"$557,306.00",,2022-23,Western_Michigan_23
Louisiana Tech,"$1,058,640.00",,2022-23,Louisiana_Tech_23
New Mexico State,"$1,540,661.00",,2022-23,New_Mexico_State_23
Boise State,"$4,606,222.00",10,2022-23,Boise_State_23
Michigan,"$20,902,365.00",,2022-23,Michigan_23
FIU,"$239,118.00",,2022-23,FIU_23
Colorado State,"$2,182,603.00",,2022-23,Colorado_State_23
Minnesota,"$17,411,807.00",,2022-23,Minnesota_23
Arkansas State,"$629,619.00",,2022-23,Arkansas_State_23
Western Kentucky,"$1,083,077.00",,2022-23,Western_Kentucky_23
North Carolina,"$31,740,589.00",,2022-23,North_Carolina_23
Memphis,"$5,254,237.00",8,2022-23,Memphis_23
South Carolina,"$11,466,388.00",,2022-23,South_Carolina_23
Texas,"$23,011,910.00",2,2022-23,Texas_23
California,"$7,545,387.00",,2022-23,California_23
Washington,"$10,992,854.00",,2022-23,Washington_23
Oregon,"$10,271,433.00",,2022-23,Oregon_23
Illinois,"$27,424,012.00",9,2022-23,Illinois_23
UNLV,"$6,112,443.00",,2022-23,UNLV_23
Michigan State,"$25,540,501.00",7,2022-23,Michigan_State_23
Purdue,"$16,311,833.00",1,2022-23,Purdue_23
Arkansas,"$19,341,299.00",8,2022-23,Arkansas_23
Total,"$975,915,472.00",,2022-23,Total_23
Average,"$9,120,705.00",,2022-23,Average_23
