Rank,School Name,Conference,Total Allocated,Key
149,California_State-Northridge_23,BigWst,"$20,101,511.00",California_State-Northridge_23
150,Tennessee-Chattanooga_23,SoCon,"$21,051,127.00",Tennessee-Chattanooga_23
151,New_Jersey_Tech_23,AmEast,"$20,064,224.00",New_Jersey_Tech_23
152,Jacksonville_State_23,Asun,"$20,288,342.00",Jacksonville_State_23
153,Eastern_Kentucky_23,Asun,"$19,440,010.00",Eastern_Kentucky_23
154,Louisiana-Monroe_23,SBC,"$20,527,424.00",Louisiana-Monroe_23
155,Lamar_23,SthLnd,"$18,854,203.00",Lamar_23
156,Southern_Illinois_23,MVC,"$22,028,920.00",Southern_Illinois_23
157,Indiana_State_23,MVC,"$17,903,701.00",Indiana_State_23
158,Murray_State_23,MVC,"$19,210,384.00",Murray_State_23
159,North_Carolina_Greensboro_23,SoCon,"$17,118,048.00",North_Carolina_Greensboro_23
160,Tarleton_State_23,WAC,"$18,048,307.00",Tarleton_State_23
161,Citadel_23,SoCon,"$18,019,405.00",Citadel_23
162,Illinois-Chicago_23,MVC,"$19,336,276.00",Illinois-Chicago_23
163,Southern_23,SWAC,"$18,585,316.00",Southern_23
164,Texas-Arlington_23,WAC,"$18,542,203.00",Texas-Arlington_23
165,Utah_Valley_23,WAC,"$18,906,619.00",Utah_Valley_23
166,Youngstown_State_23,Hor,"$17,773,159.00",Youngstown_State_23
167,California-Riverside_23,BigWst,"$16,789,734.00",California-Riverside_23
168,Austin_Peay_23,Asun,"$17,644,953.00",Austin_Peay_23
169,Oakland_23,Hor,"$17,325,703.00",Oakland_23
170,Northern_Iowa_23,MVC,"$19,819,613.00",Northern_Iowa_23
171,Florida_Gulf_Coast_23,Asun,"$17,286,852.00",Florida_Gulf_Coast_23
172,Tennessee_Tech_23,OVC,"$16,565,077.00",Tennessee_Tech_23
173,Central_Arkansas_23,Asun,"$17,096,473.00",Central_Arkansas_23
174,Southern_Utah_23,WAC,"$16,254,960.00",Southern_Utah_23
175,California_State-Bakersfield_23,BigWst,"$17,053,029.00",California_State-Bakersfield_23
176,Portland_State_23,BigSky,"$16,160,881.00",Portland_State_23
177,Northern_Kentucky_23,Hor,"$16,521,511.00",Northern_Kentucky_23
178,Western_Carolina_23,SoCon,"$17,040,389.00",Western_Carolina_23
179,North_Carolina_A&T_23,CAA,"$15,829,584.00",North_Carolina_A&T_23
180,Delaware_State_23,MEAC,"$16,211,290.00",Delaware_State_23
181,Texas-Rio_Grande_Valley_23,WAC,"$14,543,584.00",Texas-Rio_Grande_Valley_23
182,Central_Connecticut_23,NEC,"$16,043,570.00",Central_Connecticut_23
183,North_Carolina_Wilmington_23,CAA,"$15,141,319.00",North_Carolina_Wilmington_23
184,VMI_23,SoCon,"$16,114,012.00",VMI_23
185,Norfolk_State_23,MEAC,"$15,928,886.00",Norfolk_State_23
186,Tennessee_State_23,OVC,"$15,883,556.00",Tennessee_State_23
187,Radford_23,BigSou,"$12,194,004.00",Radford_23
188,Weber_State_23,BigSky,"$16,447,647.00",Weber_State_23
189,Southeastern_Louisiana_23,SthLnd,"$14,775,594.00",Southeastern_Louisiana_23
190,North_Florida_23,Asun,"$14,456,960.00",North_Florida_23
191,Texas_A&M-Corpus_Christi_23,SthLnd,"$14,968,202.00",Texas_A&M-Corpus_Christi_23
192,Alabama_State_23,SWAC,"$17,892,138.00",Alabama_State_23
193,Tennessee-Martin_23,OVC,"$14,461,961.00",Tennessee-Martin_23
194,Utah_Tech_23,WAC,"$13,987,957.00",Utah_Tech_23
195,Prairie_View_A&M_23,SWAC,"$18,821,203.00",Prairie_View_A&M_23
196,Cleveland_State_23,Hor,"$14,145,508.00",Cleveland_State_23
197,Alabama_A&M_23,SWAC,"$14,189,129.00",Alabama_A&M_23
198,North_Alabama_23,Asun,"$13,788,806.00",North_Alabama_23
199,Arkansas-Little_Rock_23,OVC,"$13,928,945.00",Arkansas-Little_Rock_23
200,McNeese_State_23,SthLnd,"$13,321,532.00",McNeese_State_23
201,Northwestern_State_La_23,SthLnd,"$13,234,261.00",Northwestern_State_La_23
202,Texas_Southern_23,SWAC,"$13,362,715.00",Texas_Southern_23
203,Purdue_Fort_Wayne_23,Hor,"$13,062,826.00",Purdue_Fort_Wayne_23
204,South_Carolina_State_23,MEAC,"$7,857,836.00",South_Carolina_State_23
205,Florida_A&M_23,SWAC,"$12,049,059.00",Florida_A&M_23
206,Eastern_Washington_23,BigSky,"$16,032,290.00",Eastern_Washington_23
207,Eastern_Illinois_23,OVC,"$14,551,286.00",Eastern_Illinois_23
208,Jackson_State_23,SWAC,"$12,637,183.00",Jackson_State_23
209,Southeast_Missouri_State_23,OVC,"$12,807,770.00",Southeast_Missouri_State_23
210,Missouri-Kansas_City_23,Summit,"$12,893,022.00",Missouri-Kansas_City_23
211,Longwood_23,BigSou,"$12,023,800.00",Longwood_23
212,Idaho_State_23,BigSky,"$15,447,714.00",Idaho_State_23
213,Morehead_State_23,OVC,"$11,639,966.00",Morehead_State_23
214,Winthrop_23,BigSou,"$11,515,673.00",Winthrop_23
215,Grambling_State_23,SWAC,"$12,334,219.00",Grambling_State_23
216,North_Carolina_Central_23,MEAC,"$11,339,477.00",North_Carolina_Central_23
217,Southern_Illinois_Edwardsville_23,OVC,"$11,106,055.00",Southern_Illinois_Edwardsville_23
218,Morgan_State_23,MEAC,"$14,924,648.00",Morgan_State_23
219,Wright_State_23,Hor,"$10,698,961.00",Wright_State_23
