School Name_x,Generated Revenue,Year,key,YEAR,School Name_y,SEED,ROUND,POWER RATING,Rank,School Name,Conference,Total Allocated
Georgia State,"$233,767.00",2021-22,Georgia_State_22,,,,,,,,,
Georgia State,"$133,513.00",2022-23,Georgia_State_23,,,,,,72.0,Georgia_State_23,SBC,"$39,913,963.00"
Georgia Tech,"$12,425,566.00",2021-22,Georgia_Tech_22,,,,,,,,,
Georgia Tech,"$14,775,111.00",2022-23,Georgia_Tech_23,,,,,,44.0,Georgia_Tech_23,ACC,"$104,719,581.00"
,,,Gonzaga_22,2022.0,Gonzaga,1.0,16.0,96.5,,,,
,,,Gonzaga_23,2023.0,Gonzaga,3.0,8.0,89.9,,,,
,,,Grambling_State_23,,,,,,215.0,Grambling_State_23,SWAC,"$12,334,219.00"
,,,Grand_Canyon_23,2023.0,Grand Canyon,14.0,64.0,75.9,,,,
Hawaii,"$949,703.00",2021-22,Hawaii_22,,,,,,,,,
Hawaii,"$1,564,485.00",2022-23,Hawaii_23,,,,,,70.0,Hawaii_23,BigWst,"$48,029,141.00"
Houston,"$2,336,025.00",2021-22,Houston_22,2022.0,Houston,1.0,8.0,88.7,,,,
Houston,"$2,247,941.00",2022-23,Houston_23,2023.0,Houston,1.0,16.0,93.2,56.0,Houston_23,AAC,"$73,806,404.00"
,,,Howard_23,2023.0,Howard,16.0,64.0,69.3,,,,
,,,Idaho_23,,,,,,139.0,Idaho_23,BigSky,"$22,289,958.00"
,,,Idaho_State_23,,,,,,212.0,Idaho_State_23,BigSky,"$15,447,714.00"
,,,Illinois-Chicago_23,,,,,,162.0,Illinois-Chicago_23,MVC,"$19,336,276.00"
Illinois,"$29,343,934.00",2021-22,Illinois_22,2022.0,Illinois,4.0,32.0,86.8,,,,
Illinois,"$27,424,012.00",2022-23,Illinois_23,2023.0,Illinois,9.0,64.0,84.5,24.0,Illinois_23,Big 10,"$129,119,247.00"
,,,Illinois_State_23,,,,,,115.0,Illinois_State_23,MVC,"$29,834,680.00"
,,,Indiana-Purdue_Indianapolis_23,,,,,,221.0,Indiana-Purdue_Indianapolis_23,Hor,"$10,281,924.00"
Indiana,"$25,955,324.00",2021-22,Indiana_22,2022.0,Indiana,12.0,64.0,83.0,,,,
Indiana,"$26,940,286.00",2022-23,Indiana_23,2023.0,Indiana,4.0,32.0,85.8,13.0,Indiana_23,Big 10,"$132,392,596.00"
,,,Indiana_State_23,,,,,,157.0,Indiana_State_23,MVC,"$17,903,701.00"
,,,Iona_23,2023.0,Iona,13.0,64.0,79.6,,,,
Iowa,"$14,601,251.00",2021-22,Iowa_22,2022.0,Iowa,5.0,64.0,89.0,,,,
Iowa,"$14,984,166.00",2022-23,Iowa_23,2023.0,Iowa,8.0,64.0,84.4,21.0,Iowa_23,Big 10,"$151,144,861.00"
,,,Iowa_St._22,2022.0,Iowa St.,11.0,16.0,80.6,,,,
,,,Iowa_St._23,2023.0,Iowa St.,6.0,64.0,84.5,,,,
Iowa State,"$15,676,249.00",2021-22,Iowa_State_22,,,,,,,,,
Iowa State,"$16,120,049.00",2022-23,Iowa_State_23,,,,,,39.0,Iowa_State_23,Big 12,"$111,227,458.00"
,,,Jackson_State_23,,,,,,208.0,Jackson_State_23,SWAC,"$12,637,183.00"
,,,Jacksonville_St._22,2022.0,Jacksonville St.,15.0,64.0,73.2,,,,
,,,Jacksonville_State_23,,,,,,152.0,Jacksonville_State_23,Asun,"$20,288,342.00"
James Madison,"$457,446.00",2021-22,James_Madison_22,,,,,,,,,
James Madison,"$727,207.00",2022-23,James_Madison_23,,,,,,62.0,James_Madison_23,SBC,"$57,800,447.00"
Kansas,"$17,126,971.00",2021-22,Kansas_22,2022.0,Kansas,1.0,1.0,91.3,,,,
Kansas,"$18,347,052.00",2022-23,Kansas_23,2023.0,Kansas,1.0,32.0,89.6,35.0,Kansas_23,Big 12,"$108,696,078.00"
,,,Kansas_St._23,2023.0,Kansas St.,3.0,8.0,84.5,,,,
Kansas State,"$12,614,477.00",2021-22,Kansas_State_22,,,,,,,,,
Kansas State,"$15,206,519.00",2022-23,Kansas_State_23,,,,,,49.0,Kansas_State_23,Big 12,"$82,220,606.00"
,,,Kennesaw_St._23,2023.0,Kennesaw St.,14.0,64.0,73.3,,,,
,,,Kennesaw_State_23,,,,,,106.0,Kennesaw_State_23,Asun,"$25,862,921.00"
,,,Kent_St._23,2023.0,Kent St.,13.0,64.0,79.4,,,,
Kent State,"$294,428.00",2021-22,Kent_State_22,,,,,,,,,
Kent State,"$478,984.00",2022-23,Kent_State_23,,,,,,123.0,Kent_State_23,MAC,"$29,613,870.00"
Kentucky,"$31,256,132.00",2021-22,Kentucky_22,2022.0,Kentucky,2.0,64.0,91.2,,,,
Kentucky,"$32,117,351.00",2022-23,Kentucky_23,2023.0,Kentucky,6.0,32.0,86.0,16.0,Kentucky_23,SEC,"$153,621,183.00"
LSU,"$11,524,430.00",2021-22,LSU_22,2022.0,LSU,6.0,64.0,85.7,,,,
LSU,"$12,031,865.00",2022-23,LSU_23,,,,,,6.0,LSU_23,SEC,"$192,770,399.00"
,,,Lamar_23,,,,,,155.0,Lamar_23,SthLnd,"$18,854,203.00"
,,,Long_Beach_State_23,,,,,,148.0,Long_Beach_State_23,BigWst,"$25,797,936.00"
,,,Longwood_22,2022.0,Longwood,14.0,64.0,73.4,,,,
,,,Longwood_23,,,,,,211.0,Longwood_23,BigSou,"$12,023,800.00"
"Louisiana, Lafayette","$1,380,229.00",2021-22,"Louisiana,_Lafayette_22",,,,,,,,,
"Louisiana, Lafayette","$1,544,474.00",2022-23,"Louisiana,_Lafayette_23",,,,,,,,,
"Louisiana, Monroe","$384,072.00",2021-22,"Louisiana,_Monroe_22",,,,,,,,,
"Louisiana, Monroe","$407,093.00",2022-23,"Louisiana,_Monroe_23",,,,,,,,,
,,,Louisiana-Lafayette_23,,,,,,105.0,Louisiana-Lafayette_23,SBC,"$38,364,254.00"
,,,Louisiana-Monroe_23,,,,,,154.0,Louisiana-Monroe_23,SBC,"$20,527,424.00"
,,,Louisiana_Lafayette_23,2023.0,Louisiana Lafayette,13.0,64.0,76.3,,,,
Louisiana Tech,"$1,215,052.00",2021-22,Louisiana_Tech_22,,,,,,,,,
Louisiana Tech,"$1,058,640.00",2022-23,Louisiana_Tech_23,,,,,,121.0,Louisiana_Tech_23,CUSA,"$28,294,724.00"
Louisville,"$35,444,073.00",2021-22,Louisville_22,,,,,,,,,
Louisville,"$38,452,775.00",2022-23,Louisville_23,,,,,,23.0,Louisville_23,ACC,"$139,978,927.00"
,,,Loyola_Chicago_22,2022.0,Loyola Chicago,10.0,64.0,83.7,,,,
,,,Maine_23,,,,,,132.0,Maine_23,AmEast,"$24,291,873.00"
,,,Marquette_22,2022.0,Marquette,9.0,64.0,81.9,,,,
,,,Marquette_23,2023.0,Marquette,2.0,32.0,87.6,,,,
